# Saved by map_marker_app_yaml_v1_5_waypoints.py
# yaml: /Users/lch/Development/map_marker_gen/maps/carter_navigation_fullwarehouse_pi.yaml
# image: /Users/lch/Development/map_marker_gen/maps/carter_navigation_fullwarehouse_pi.png
# resolution: 0.05
# origin: [-27.975, -41.37500152587891, 0.0]
# use_center: True
id,type,source,route_id,seq,u_px,v_px,theta_img_deg,x_map,y_map,theta_map_rad
mk_1761989728275,start,live,2,1,273.00,613.00,180.00,-14.300000,2.749998,-3.141593
mk_1761989728791,waypoint,live,2,2,169.00,584.00,270.00,-19.500000,4.199998,1.570796
mk_1761989729358,waypoint,live,2,3,189.00,541.00,0.00,-18.500000,6.349998,0.000000
mk_1761989729841,waypoint,live,2,4,302.00,542.00,0.00,-12.850000,6.299998,0.000000
mk_1761989730358,waypoint,live,2,5,392.00,546.00,0.00,-8.350000,6.099998,0.000000
mk_1761989730963,waypoint,live,2,6,407.00,496.00,270.00,-7.600000,8.599998,1.570796
mk_1761989731507,waypoint,live,2,7,400.00,397.00,270.00,-7.950000,13.549998,1.570796
mk_1761989732047,waypoint,live,2,8,402.00,283.00,270.00,-7.850000,19.249998,1.570796
mk_1761989732600,waypoint,live,2,9,393.00,147.00,270.00,-8.300000,26.049998,1.570796
mk_1761989736765,goal,live,2,10,353.00,114.00,180.00,-10.300000,27.699998,-3.141593
mk_1761989740721,start,live,3,1,146.00,674.00,0.00,-20.650000,-0.300002,0.000000
mk_1761989741403,waypoint,live,3,2,319.00,669.00,0.00,-12.000000,-0.050002,0.000000
mk_1761989741987,waypoint,live,3,3,412.00,640.00,270.00,-7.350000,1.399998,1.570796
mk_1761989743455,waypoint,live,3,4,369.00,525.00,180.00,-9.500000,7.149998,-3.141593
mk_1761989747609,waypoint,live,3,5,270.00,517.00,180.00,-14.450000,7.549998,-3.141593
mk_1761989748243,waypoint,live,3,6,172.00,524.00,180.00,-19.350000,7.199998,-3.141593
mk_1761989748893,waypoint,live,3,7,112.00,490.00,270.00,-22.350000,8.899998,1.570796
mk_1761989749526,waypoint,live,3,8,112.00,390.00,270.00,-22.350000,13.899998,1.570796
mk_1761989750194,waypoint,live,3,9,112.00,304.00,270.00,-22.350000,18.199998,1.570796
mk_1761989750960,waypoint,live,3,10,110.00,209.00,270.00,-22.450000,22.949998,1.570796
mk_1761989751485,waypoint,live,3,11,112.00,119.00,270.00,-22.350000,27.449998,1.570796
mk_1761989752144,waypoint,live,3,12,171.00,113.00,0.00,-19.400000,27.749998,0.000000
mk_1761989752746,waypoint,live,3,13,239.00,106.00,0.00,-16.000000,28.099998,0.000000
mk_1761989756664,goal,live,3,14,328.00,111.00,0.00,-11.550000,27.849998,0.000000
