# Saved by map_marker_app_yaml_v1_5_waypoints.py
# yaml: /home/changhyeon/isaac_ros_ws/map_marker_gen/maps/carter_navigation_fullwarehouse_pi.yaml
# image: /home/changhyeon/isaac_ros_ws/map_marker_gen/maps/carter_navigation_fullwarehouse_pi.png
# resolution: 0.05
# origin: [-27.975, -41.37500152587891, 0.0]
# use_center: True
id,type,source,route_id,seq,u_px,v_px,theta_img_deg,x_map,y_map,theta_map_rad
mk_1762073389005,start,live,6,1,526.00,523.00,0.00,-1.650000,7.249998,0.000000
mk_1762073391226,waypoint,live,6,2,578.00,499.00,270.00,0.950000,8.449998,1.570796
mk_1762073392174,waypoint,live,6,3,578.00,411.00,270.00,0.950000,12.849998,1.570796
mk_1762073393650,waypoint,live,6,4,574.00,329.00,270.00,0.750000,16.949998,1.570796
mk_1762073394553,waypoint,live,6,5,574.00,265.00,270.00,0.750000,20.149998,1.570796
mk_1762073395552,waypoint,live,6,6,576.00,177.00,270.00,0.850000,24.549998,1.570796
mk_1762073396821,waypoint,live,6,7,566.00,120.00,180.00,0.350000,27.399998,-3.141593
mk_1762073397956,waypoint,live,6,8,500.00,122.00,90.00,-2.950000,27.299998,-1.570796
mk_1762073398970,waypoint,live,6,9,500.00,179.00,90.00,-2.950000,24.449998,-1.570796
mk_1762073400278,waypoint,live,6,10,500.00,255.00,90.00,-2.950000,20.649998,-1.570796
mk_1762073404853,goal,live,6,11,506.00,323.00,90.00,-2.650000,17.249998,-1.570796
mk_1762073412103,start,live,7,1,370.00,523.00,180.00,-9.450000,7.249998,-3.141593
mk_1762073413871,waypoint,live,7,2,300.00,513.00,270.00,-12.950000,7.749998,1.570796
mk_1762073415020,waypoint,live,7,3,302.00,423.00,270.00,-12.850000,12.249998,1.570796
mk_1762073416588,waypoint,live,7,4,316.00,391.00,90.00,-12.150000,13.849998,-1.570796
mk_1762073418037,waypoint,live,7,5,318.00,475.00,90.00,-12.050000,9.649998,-1.570796
mk_1762073418989,waypoint,live,7,6,320.00,537.00,0.00,-11.950000,6.549998,0.000000
mk_1762073422871,goal,live,7,7,372.00,531.00,0.00,-9.350000,6.849998,0.000000
